sku,name,Products_type
C-HDC405R,"HDC Foundation 10g Refill - 405 Mocha 10g",simple
C-HDC406R,"HDC Foundation 10g Refill - 406 Ebony 10g",simple
C-HDC407R,"HDC Foundation 10g Refill - 407 Caramel10g",simple
C-HDC408R,"HDC Foundation 10g Refill - 408 Coffee Bean 10g",simple
C-HDC409R,"HDC Foundation 10g Refill - 409 Amber 10g",simple
C-HDC410R,"HDC Foundation 10g Refill - 410 Congac 10g",simple
C-HDC411R,"HDC Foundation 10g Refill - 411 Medium Light Porcelian 10g",simple
C-HDC412R,"HDC Foundation 10g Refill - 412 Medium Porcelian 10g",simple
C-HDC450R,"HDC Foundation 10g Refill - 450 Light Ivory 10g",simple
C-HDC451R,"HDC Foundation 10g Refill - 451 Ivory 10g",simple
C-HDC452R,"HDC Foundation 10g Refill - 452 Medium Ivory 10g",simple
C-HDC453R,"HDC Foundation 10g Refill - 453 Medium Tan10g",simple
C-HDC454R,"HCD Foundation 10g Refill - 454 Tan 10g",simple
C-HDC455R,"HDC Foundation 10g Refill - 455 Almond 10g",simple
C-HDC456R,"HDC Foundation 10g Refill - 456 Golden Honey 10g",simple
C-HDC457R,"HDC Foundation 10g Refill -  457 Honey Chesnut 10g",simple
hdl_foundation_15,"HDL Foundation 15ml",configurable
C-HDL100/15,"15ml - HDL100 - Extra Light Porcelain HD Foundation",simple
C-HDL101/15,"15ml - HDL101 - Light Porcelain HD Foundation",simple
C-HDL102/15,"15ml - HDL102 Porcelain HD Foundation",simple
C-HDL103/15,"15ml - HDL103 Medium Beige HD Foundation",simple
C-HDL104/15,"15ml- HDL104 Dark Tan HD Foundation",simple
C-HDL105/15,"15ml- HDL105  Mocha HD Foundation",simple
C-HDL106/15,"15ml - HDL106 Ebony HD Foundation",simple
C-HDL107/15,"15ml - HDL107 - Caramel HD Foundation",simple
C-HDL108/15,"15ml - HDL108 Coffee Bean HD Foundation",simple
C-HDL109/15,"15ml - HDL109 Amber HD Foundation",simple
C-HDL110/15,"15ml - HDL110 Congac HD Foundation",simple
C-HDL111/15,"15ml - HDL111 Medium Light Porcelain HD Foundation",simple
C-HDL112/15,"15ml - HDL112 Medium Porcelain HD Foundation",simple
C-HDL113/15,"15ml - HDL113 Coca HD Foundation",simple
C-HDL150/15,"15ml - HDL150 - Light Ivory HD Foundation",simple
C-HDL151/15,"15ml - HDL151 Ivory HD Foundation",simple
C-HDL152/15,"15ml - HDL152 Medium Ivory HD Foundation",simple
C-HDL153/15,"15ml - HDL153 Medium Tan HD Foundation",simple
C-HDL154/15,"15ml - HDL154 Tan HD Foundation",simple
C-HDL155/15,"15m - HDL155l Almond HD Foundation",simple
C-HDL156/15,"15ml - HDL156 Golden Honey HD Foundation",simple
C-HDL157/15,"15ml - HDL157 Honey Chesnut HD Foundation",simple
C-HDL158/15,"15ml - HDL158 Toasty Coffee HD Foundation",simple
C-HDL159/15,"15ml - HDL159 Sable HD Foundation",simple
C-HDL160/15,"15ml - HDL160 Roasted Coffee HD Foundation",simple
C-HDLAA/15,"HDL Apricot Adjuster 15ml",simple
C-HDLBEXT/15,"HDL - Adjuster - Black - 15ml",simple
C-HDLGA/15,"HDL Gold Adjuster 15ml",simple
C-HDLPA/15,"HDL Peach Adjuster 15ml",simple
C-HDLW/15,"HDL - White Adjuster - 15ml",simple
HDL_Foundation_30,"HDL Foundation 30ml",configurable
C-HDL100/30,"Extra Light Porcelain - 30ml",simple
C-HDL101/30,"Light Porcelain - 30ml",simple
C-HDL102/30,"Porcelain - 30ml",simple
C-HDL103/30,"Medium Beige - 30ml",simple
C-HDL104/30,"Dark Tan - 30ml",simple
C-HDL105/30,"Mocha - 30ml",simple
C-HDL106/30,"Ebony - 30ml",simple
C-HDL107/30,"Caramel - 30ml",simple
C-HDL108/30,"Coffee Bean - 30ml",simple
C-HDL109/30,"Amber - 30ml",simple
C-HDL110/30,"Congac - 30ml",simple
C-HDL111/30,"Medium Light Porcelain - 30ml",simple
C-HDL112/30,"Medium Porcelain - 30ml",simple
C-HDL113/30,"Coca - 30ml",simple
C-HDL150/30,"Light Ivory - 30ml",simple
C-HDL151/30,"Ivory - 30ml",simple
C-HDL152/30,"Medium Ivory - 30ml",simple
C-HDL153/30,"Medium Tan - 30ml",simple
C-HDL154/30,"Tan - 30ml",simple
C-HDL155/30,"Almond - 30ml",simple
C-HDL156/30,"Golden Honey - 30ml",simple
C-HDL157/30,"Golden Chesnut - 30ml",simple
C-HDL158/30,"Toasty Coffee - 30ml",simple
C-HDL159/30,"Sable - 30ml",simple
C-HDL160/30,"Roasted Coffee - 30ml",simple
C-HDLAA/30,"Apricot Adjuster - 30ml",simple
C-HDLBEXT/30,"AdjusterBlack - 30ml",simple
C-HDLGA/30,"Gold Adjuster - 30ml",simple
C-HDLPA/30,"Peach Adjuster - 30ml",simple
C-HDLW/30,"White Adjuster - 30ml",simple
illuminator_color,Illuminator,configurable
C-ILLG,"15ml Gold Illuminator",simple
C-ILLPL,"15ml Platinum Illuminator",simple
C-ILLRG,"15ml Rusty Copper Illuminator",simple
Lip_Plumper,"Lip Plumper",configurable
C-LPC,"Lip Plumper - All Natual Cinnamon 4ml",simple
C-LPS,"Lip Plumper Strawberry 4ml",simple
Lip-Pencil,"Lip Pencil",configurable
C-L100,"Lip Pencil 89% Chocolate",simple
C-L101,"Lip Pencil Apricot",simple
C-L102,"Lip Pencil Black Berry",simple
C-L103,"Lip Pencil Blush",simple
C-L104,"Lip Pencil Bubble",simple
C-L105,"L105 Lip Pencil Electra",simple
C-L106,"Lip Pencil Choco",simple
C-L107,"Lip Pencil Cinnabun",simple
C-L108,"Lip Pencil Digg It",simple
C-L109,"Lip Pencil Flambe",simple
C-L110,"Lip Pencil Golden",simple
C-L111,"Lip Pencil Happy",simple
C-L112,"Lip Pencil Hope",simple
C-L113,"Lip Pencil Hot Lip's",simple
C-L114,"Lip Pencil Kiss",simple
C-L116,"Lip Pencil Mocha",simple
C-L118,"Lip Pencil Raspberry",simple
C-L119,"Lip Pencil Red Brick",simple
C-L120,"Lip Pencil Smile",simple
C-L121,"Lip Pencil Spun Silk",simple
C-L122,"Lip Pencil Taffy",simple
C-L123,"Lip Pencil Truffle",simple
C-L124,"Lip Pencil Sandy",simple
C-L125,"Lip Pencil Quartz",simple
C-L126,"Lip Pencil Red wood",simple
C-L127,"Lip Pencil Swirl",simple
C-L128,"Lip Pencil Sangria",simple
C-L129,"Lip Pencil Brownie",simple
C-L130,"Lip Pencil Lux",simple
C-L131,"Lip Pencil Poppy",simple
C-L132,"Lip Pencil Crush",simple
C-L133,"Lip Pencil So Pink",simple
C-L134,"Lip Pencil Plum",simple
C-L135,"Lip Pencil Glamour",simple
C-L136,"Lip Pencil Terra",simple
C-L137,"Lip Pencil Auburn",simple
C-L52,"Lip Pencil Cherry",simple
C-L53,"Lip Pencil Cinnamon",simple
C-L54,"Lip Pencil Mango",simple
C-L55,"Lip Pencil Maple",simple
C-L56,"Lip Pencil Vermouth",simple
C-L66,"Lip Pencil Apple",simple
lipconditioner_color,"Lip Conditioner",configurable
C-LCD10B-GJ,"Lip Conditioner Blue RaspBerry",simple
C-LCD10C-GJ,"Lip Conditioner Chocolate",simple
C-LCD10P-GJ,"Lip Conditioner Pina Colada",simple
C-LCD10S-GJ,"Lip Conditioner Strawberry",simple
C-LCD10V-GJ,"Lip Conditioner Vanilla",simple
lipgloss_color,"Lip Gloss",configurable
C-LG120-LGSTNDP,Shy,simple
C-LG121-LGSTNDP,Cinnamon,simple
C-LG122-LGSTNDP,Rose,simple
C-LG123-LGSTNDP,Firedown,simple
C-LG124-LGSTNDP,Dazzle,simple
C-LG125-LGSTNDP,Princess,simple
C-LG126-LGSTNDP,Baby,simple
C-LG127-LGSTNDP,Love,simple
C-LG128-LGSTNDP,"Peachy #2",simple
C-LG129-LGSTNDP,Naked,simple
C-LG130-LGSTNDP,Nude,simple
C-LG131-LGSTNDP,Romance,simple
C-LG132-LGSTNDP,Bliss,simple
C-LG133-LGSTNDP,Sherry,simple
C-LG134-LGSTNDP,Passion,simple
C-LG135-LGSTNDP,Slick,simple
C-LG136-LGSTNDP,"Crystal Clear",simple
C-LG137-LGSTNDP,"Prurple Haze",simple
C-LG138-LGSTNDP,"Burnt Orange",simple
C-LG139-LGSTNDP,"Cherry Red",simple
C-LG140-LGSTNDP,"Gold Kisses",simple
C-LG142-LGSTNDP,"Midnight Eclipse",simple
C-LG143-LGSTNDP,Tangerine,simple
C-LG144-LGSTNDP,"Pure Nude",simple
C-LG145-LGSTNDP,"Ravishing Pink",simple
lipscrub_color,"Lip Scrub",configurable
C-LSC10B-GJ,"Lip Scrub Blue RaspBerry",simple
C-LSC10C-GJ,"Lip Scrub Chocolate",simple
C-LSC10PC-GJ,"Lip Scrub Pina Coloda",simple
C-LSC10S-GJ,"Lip Scrub Strawberry",simple
C-LSC10V-GJ,"Lip Scrub Vanilla",simple
Lipstick_Gold_Trim_Packaging,"Lipstick Gold Trim Packaging",configurable
C-LS8000-LSGT,"Lipstick - Vitamin E - M Gold Trim",simple
C-LS8001-LSGT,"Gold Kiss - S/F Gold Trim",simple
C-LS8002-LSGT,"Deep Gold - P Gold Trim",simple
C-LS8004-LSGT,"Lipstick - Tinsel - P Gold Trim",simple
C-LS8005-LSGT,"Pale Bronze - P Silver Colar",simple
C-LS8008-LSGT,"Foxy Brown Gold Trim",simple
C-LS8009-LSGT,"8009 Copper Rose - P - Gold Trim",simple
C-LS8011-LSGT,"89% Chocolate - M Gold Trim",simple
C-LS8012-LSGT,"Mink Brown - C - Gold Trim",simple
C-LS8013-LSGT,"8013 Lipstick - Twig",simple
C-LS8014-LSGT,"Sienna - C - Gold Trim",simple
C-LS8015-LSGT,"8015 Sedona - C - Gold Trim",simple
C-LS8016-LSGT,"Copper - P - Gold Trim",simple
C-LS8017-LSGT,"Lipstick - Antique - P - Gold Trim",simple
C-LS8018-LSGT,"Lipstick - Rondnoir Brown - P Gold Trim",simple
C-LS8021-LSGT,"Gold Rose - C/P - Gold Trim",simple
C-LS8022-LSGT,"Bronze - C/P - Gold Trim",simple
C-LS8023-LSGT,"Hint of Rose - C/P - Gold Trim",simple
C-LS8024-LSGT,"Dream - S/P - Gold Trim",simple
C-LS8025-LSGT,"Insirpation - P - Gold Trim",simple
C-LS8028-LSGT,"Lipstick - Creamy Amber C - Gold Trim",simple
C-LS8029-LSGT,"Mahogany Crème - Gold Trim",simple
C-LS8030-LSGT,"Lipstick - Gold Trim",simple
C-LS8031-LSGT,"Mocha Latte - C - Gold Trim",simple
C-LS8032-LSGT,"Lipstick - Pearl Aubergine - P - Gold Trim",simple
C-LS8033-LSGT,"Bunny Brown - C - Gold Trim",simple
C-LS8037-LSGT,"Au De Natural - Gold Trim",simple
C-LS8038-LSGT,"Charity - Gold Timr",simple
C-LS8039-LSGT,"Lipstick - Believe - C - Gold Trim",simple
C-LS8041-LSGT,"8041 Creamy Peach - Gold Trim",simple
C-LS8042-LSGT,"Dreamy Peach - Gold Trim",simple
C-LS8043-LSGT,"8043 Burnt Peach C - Gold Trim",simple
C-LS8044-LSGT,"8044 WildDragon - P - Gold Trim",simple
C-LS8047-LSGT,"Naked - C - Gold Trim",simple
C-LS8048-LSGT,"Plush - C - Gold Trim",simple
C-LS8049-LSGT,"8049 Sun Kiss - C/P Gold Trim 8049",simple
C-LS8050-LSGT,"S-Kiss - Gold Trim",simple
C-LS8051-LSGT,"Lipstick - Sunset - C/P - Gold Trim",simple
C-LS8052-LSGT,"Red Rock - C - Gold Trim",simple
C-LS8053-LSGT,"Hint of Orange - F - Gold Trim",simple
C-LS8054-LSGT,"Sheer Orange - S - Gold Trim",simple
C-LS8055-LSGT,"Deep Orange - C - Gold Trim",simple
C-LS8056-LSGT,"Lipstick - Tangerine -C - Gold Trim",simple
C-LS8057-LSGT,"Pink Cloud - C/P - Gold Trim",simple
C-LS8059-LSGT,"Orange Bloom - C - Gold Trim",simple
C-LS8060-LSGT,"Ravishing Rose - P - Gold Trim",simple
C-LS8061-LSGT,"Aubergine - C - Gold Trim",simple
C-LS8062-LSGT,"Coral Shelly - C/P - Gold Trim",simple
C-LS8063-LSGT,"8063 Red Coral (C)",simple
C-LS8065-LSGT," Fire Red - M - Gold Trim",simple
C-LS8067-LSGT,"Burnt Red - C - Gold Trim",simple
C-LS8068-LSGT,"Rouge Cream - S/P - Gold Trim",simple
C-LS8069-LSGT,"8069 Lipstick - Radical Red - C - Gold Trim",simple
C-LS8070-LSGT,"8070 Hot and Bothered - Gold Trim",simple
C-LS8072-LSGT,"8072 Maralyn - M - Gold Trim",simple
C-LS8073-LSGT,"Blush - F - Gold Trim",simple
C-LS8074-LSGT,"All night long - C - Gold Trim",simple
C-LS8075-LSGT,"Raspberry Red - C - Gold Trim",simple
C-LS8077-LSGT,"8077 Bling Cherry  - C - Gold Trim",simple
C-LS8078-LSGT,"Raseberry Haze - Gold Trim",simple
C-LS8079-LSGT,"Berry - AC - Gold Trim",simple
C-LS8081-LSGT,"Spring Rose - C - Gold Trim",simple
C-LS8082-LSGT,"8082 Babie - C - Gold Trim",simple
C-LS8083-LSGT,"Kitten Pink - C - Gold Trim",simple
C-LS8084-LSGT,"8084 Pinky Red - M - Gold Trim",simple
C-LS8086-LSGT,"Lipstick - Twiggy Pink - Gold Trim",simple
C-LS8088-LSGT,"Rouge Rose - C - Gold Trim",simple
C-LS8090-LSGT,"Deep Plum - C - Gold Trim",simple
C-LS8092-LSGT,"Lipstick - Misty Pink - P - Gold Trim",simple
C-LS8093-LSGT,"Dusty Rose - M - Gold Trim",simple
C-LS8098-LSGT,"Future Pink - C/P - Gold Trim",simple
C-LS8101-LSGT,"Plum Pink - C - Gold Trim",simple
C-LS8102-LSGT,"Chardine - C - Gold Trim",simple
C-LS8103-LSGT,"Booty Call - Gold Tirm",simple
C-LS8104-LSGT,"8104 Unforgettable - Gold Trim",simple
C-LS8105-LSGT,"Hotness Red P - Gold Trim",simple
C-LS8106-LSGT,"8106 Bee Sting (C)",simple
C-LS8107-LSGT,"Drive Him Crazy - P - Gold Trim",simple
C-LS8108-LSGT,"One night Stand - P - Gold Trim",simple
C-LS8109-LSGT,"Jealous - C - Gold Trim",simple
C-LS8110-LSGT,"8110 Diva - C - Gold Trim 8110",simple
C-LS8111-LSGT,"Vamp - C - Gold Trim",simple
C-LS8112-LSGT,"Valuptious - C - Gold Trim",simple
C-LS8113-LSGT,"Bubbly - C - Gold Trim",simple
C-LS8114-LSGT,"8114 Shocking Pink - Gold Trim",simple
C-LS8115-LSGT,"Lipstick - Grape C/P - Gold Trim",simple
C-LS8117-LSGT,"Rebelious - M - Gold Trim",simple
C-LS8118-LSGT,"Black Berry - C - Gold Trim",simple
C-LS8119-LSGT,"Lipstick - Cotton Candy - P - Gold Trim",simple
C-LS8120-LSGT,"8120 Fresh Lips - Gold Trim",simple
C-LS8122-LSGT,"8122 Purple Lushies - Gold Trim",simple
C-LS8123-LSGT,"8123 Grapcicle - C/S - Gold Trim",simple
C-LS8124-LSGT,"Lipstick - Faith - C - Gold Trim",simple
C-LS8126-LSGT,"Captivating - Gold Trim",simple
C-LS8130-LSGT,"Summer Time - C/P - Gold Trim",simple
C-LS8133-LSGT,"Shimmer beige - Gold Trim",simple
C-LS8134-LSGT,"Nude Cream - Gold Trim",simple
C-LS8140-LSGT,"Lipstick - Snow White - Gold Trim",simple
C-LS8141-LSGT,"Deep Black - Gold Trim",simple
C-LS8142-LSGT,"8142 Hello Pretty - Gold Trim",simple
C-LS8143-LSGT,"8143 Fusion - Gold Trim",simple
C-LS8144-LSGT,"8144 Fresh - Gold Trim",simple
C-LS8145-LSGT,"8145 Coral Bliss - Gold Trim",simple
C-LS8146-LSGT,"Fabulous - Gold Trim",simple
C-LS8147-LSGT,"8147 Red Velvet - Gold Trim",simple
C-LS8148-LSGT,"Candy Land - Gold Trim",simple
C-LS8149-LSGT,"Taupe - Gold Trim",simple
C-LS8150-LSGT,"Lipstick - Desert Rose - Gold Trim",simple
C-LS8151-LSGT,"8151 Lipstick - Canyon GT",simple
C-LS8152-LSGT,"Fashion Wear - Gold Trim",simple
C-LS8153-LSGT,"Sensational - Gold Trim",simple
C-LS8154-LSGT,"Dream Catcher - Gold Trim",simple
C-LS8155-LSGT,"Heavenly - Gold Trim",simple
C-LS8156-LSGT,"Purple Rain - Gold Trim",simple
C-LS8157-LSGT,"Darling - Gold Trim",simple
C-LS8158-LSGT,"8158 Lost - Gold Trim 8158",simple
C-LS8159-LSGT,"Starlight - Gold Trim",simple
C-LS8160-LSGT,"Bashful - Gold Trim",simple
C-LS8161-LSGT,"Giggles - Gold Trim",simple
C-LS8162-LSGT,"Fetish - Gold Trim",simple
C-LS8163-LSGT,"Rain Maker - Gold Trim",simple
C-LS8164-LSGT,"MamaMia - Gold Trim",simple
C-LS8165-LSGT,"Topaz - M - Gold Trim",simple
C-LS8166-LSGT,"Jersey Shore - Gold Trim",simple
C-LS8167-LSGT,"Orange -M - Gold Trim",simple
C-LS8168-LSGT,"Red - M - Gold Trim",simple
C-LS8169-LSGT,"Red Devil - M - Gold Trim",simple
C-LS8170-LSGT,"Purple Vibe - M - Gold Trim",simple
C-LS8171-LSGT,"8171 Matte Lipstick Doll me up - Gold Trim",simple
C-LS8172-LSGT,"Magic - Gold Trim",simple
C-LS8173-LSGT,"Girl Next Door - Gold Trim",simple
C-LS8174-LSGT,"Clever - Gold Trim",simple
C-LS8175-LSGT,"Sweet Boy - Gold Trim",simple
C-LS8176-LSGT,"Pretty Tizzy - Gold Trim",simple
C-LS8177-LSGT,"Bombshell - Gold Trim",simple
C-LS8178-LSGT,"Gatsby - Gold Trim",simple
C-LS8179-LSGT,"Brag - Gold Trim",simple
C-LS8180-LSGT,"Moochie - Gold Trim",simple
C-LS8181-LSGT,"Naked - M - Gold Trim",simple
C-LS8182-LSGT,"Nude - M - Gold Trim",simple
C-LS8183-LSGT,"Bright Pink -M - Gold Trim",simple
C-LS8184-LSGT,"Bright Orange - M - Gold Trim",simple
C-LS8185-LSGT,"Grey - M - Gold Trim",simple
C-LS8186-LSGT,"Burgandy - M - Gold Trim",simple
C-LS8187-LSGT,"Purple Orchid - M - Gold Trim",simple
C-LS8188-LSGT,"Teddy - Gold Trim",simple
C-LS8189-LSGT,"Pebbles - Gold Trim",simple
C-LS8190-LSGT,"Utopia - Gold Trim",simple
C-LS8191-LSGT,"Flag Ship - Gold Trim",simple
C-LS8192-LSGT,"8192 Frenzy - Gold Trim",simple
C-LS8193-LSGT,"Fairy - Gold Trim",simple
C-LS8194-LSGT,"Bloomer - Gold Trim",simple
C-LS8195-LSGT,"Bam Bam - Gold Trim",simple
C-LS8196-LSGT,"8196 Heart Breaker - Gold Trim",simple
C-LS8197-LSGT,"Beauty Drug - Gold Colar",simple
C-LS8198-LSGT,"8198 Russian Sensation - Gold Trim",simple
C-LS8200-LSGT,"8200 Uptown Girl - Gold Trim 8200",simple
C-LS8201-LSGT,"Girl night Out - Gold Trim",simple
C-LS8202-LSGT,"Dream Girl - Gold Trim",simple
C-LS8203-LSGT,"Warmth - Gold Trim",simple
C-LS8204-LSGT,"Day Dream - Gold Trim",simple
C-LS8205-LSGT,"Lipstick - Love Fear - Gold Trim",simple
C-LS8206-LSGT,"Sweet kiss - Gold Trim",simple
C-LS8207-LSGT,"Immoral - Gold Trim",simple
C-LS8208-LSGT,"8208 Slush - Gold Trim",simple
C-LS8209-LSGT,"Pout - Gold Trim",simple
C-LS8210-LSGT,"Shock - Gold Trim",simple
C-LS8211-LSGT,"Breeze - Gold Trim",simple
C-LS8212-LSGT,"Love - Gold Trim",simple
C-LS8213-LSGT,"Wonder - Gold Trim",simple
C-LS8214-LSGT," 4430 Miracle - Gold Trim",simple
C-LS8215-LSGT,"Sweet Heart - Gold Trim",simple
C-LS8216-LSGT,"Lipstick - Girl Chat - Gold Trim",simple
C-LS8217-LSGT,"Marvelous - Gold Trim",simple
C-LS8218-LSGT,"Sloppy - Gold Trim",simple
C-LS8219-LSGT,"Snog - Gold Trim",simple
C-LS8221-LSGT,"8221 Soul - Gold Trim",simple
C-LS8222-LSGT,"Ice Coral (Cream Matte) - Gold Trim",simple
C-LS8223-LSGT,"Spell Bond (Cream Matte) - Gold Trim",simple
C-LS8224-LSGT,"Cold Hearted (Cream Matte) - Gold Trim",simple
C-LS8225-LSGT,"Naughty (Cream Matte) - Gold Trim",simple
C-LS8226-LSGT,"Marine (Cream Matte) - Gold Trim",simple
C-LS8227-LSGT,"Scandalous (Cream Matte) - Gold Trim",simple
C-LS8229-LSGT,"Paradise Blue (Cream Matte) - Gold Trim",simple
C-LS8230-LSGT,"Blue Moon (Cream Matte) - Gold Trim",simple
C-LS8231-LSGT,"Ocean (Cream Matte) - Gold Trim",simple
C-LS8232-LSGT,"Lipstick - Sugar Plum (Cream Matte) - Gold Trim",simple
C-LS8233-LSGT,"AcidBerry (Cream Matte) - Gold Trim",simple
C-LS8234-LSGT,"Lime Me Green (Cream Matte) - Gold Trim",simple
C-LS8235-LSGT,"8235 Lipstick - Irish Pub (Cream Matte) - Gold Trim",simple
C-LS8236-LSGT,"Gosh (Cream Matte) - Gold Trim",simple
C-LS8237-LSGT,"Bubble Gum (Cream Matte) - Gold Trim",simple
C-LS8238-LSGT,"Orange Sorbet (Cream Matte) - Gold Trim",simple
lipstick_kisstint,"Lipstick Kisstint",configurable
C-LSKCK,"Chocolate Kiss",simple
C-LSKLB,"Kiss Tint - Love Berry",simple
C-LSKTC,"Kiss Tint - Clementine",simple
C-LSKTPP,"Kiss Tint - Pink Peony",simple
C-LSKTTC,"Kiss Tint - Toffee Coffee",simple
C-LSKTW,"Kiss Tint - Watermelon",simple
lipstick_silverc,"Lipstick Silverc",configurable
C-LS8000-lssilverc,"Lipstick - Vitamin E - M Silver Colar",simple
C-LS8001-lssilverc,"Gold Kiss - S/F Silver Colar",simple
C-LS8002-lssilverc,"Deep Gold - P - Silver Colar",simple
C-LS8004-lssilverc,"Lipstick - Tinsel - P Silver Colar",simple
C-LS8005-lssilverc,"Pale Bronze - P Silver Colar",simple
C-LS8008-lssilverc,"Foxy Brown Silver Colar",simple
C-LS8009-lssilverc,"8009 Lipstick Copper Rose - Silver Colar",simple
C-LS8011-lssilverc,"89% Chocolate - M - Silver Colar",simple
C-LS8012-lssilverc,"Mink Brown - C - Silver Colar",simple
C-LS8013-lssilverc,Twig,simple
C-LS8014-lssilverc,"Sienna - C - Silver Collar",simple
C-LS8015-lssilverc,"8015 Sedona - C - Silver Colar",simple
C-LS8016-lssilverc,"Copper - P - Silver Colar",simple
C-LS8017-lssilverc,"Lipstick - Antique - P - Silver Colar",simple
C-LS8018-lssilverc,"Lipstick - Rondnoir Brown - P Silver Colar",simple
C-LS8021-lssilverc,"Gold Rose - C/P - Silver Colar",simple
C-LS8022-lssilverc,"Bronze - C/P - Silver Colar",simple
C-LS8023-lssilverc,"Hint of Rose - C/P - Silver Colar",simple
C-LS8024-lssilverc,"Dream - S/P Silver Colar",simple
C-LS8025-lssilverc,"Insirpation - P - Silver Colar",simple
C-LS8028-lssilverc,"Lipstick - Creamy Amber C - Silver Colar",simple
C-LS8029-lssilverc,"Mahogany Crème - Silver Colar",simple
C-LS8031-lssilverc,"Mocha Latte - C - Silver Colar",simple
C-LS8032-lssilverc,"Lipstick - Pearl Aubergine - P - Silver Colar",simple
C-LS8033-lssilverc,"Bunny Brown - C - Silver Colar",simple
C-LS8037-lssilverc,"Au De Natural Silver Colar",simple
C-LS8038-lssilverc,"Charity - Silver Colar",simple
C-LS8039-lssilverc,"Lipstick - Believe - C - Silver Colar",simple
C-LS8041-lssilverc,"8041 Creamy Peach - Silver Colar",simple
C-LS8042-lssilverc,"Dreamy Peach - Silver Colar",simple
C-LS8043-lssilverc,"8043 Burnt Peach C - Silver Colar",simple
C-LS8044-lssilverc,"8044 WildDragon - P - Silver Colar",simple
C-LS8047-lssilverc,"Naked - C - Silver Colar",simple
C-LS8048-lssilverc,"Plush - C - Silver Colar",simple
C-LS8049-lssilverc,"8049 Sun Kiss - C/P Silver Colar 8049",simple
C-LS8050-lssilverc,"S-Kiss - Silver Colar",simple
C-LS8051-lssilverc,"Lipstick - Sunset - C/P - Silver Colar",simple
C-LS8052-lssilverc,"Red Rock - C - Silver Colar",simple
C-LS8053-lssilverc,"Hint of Orange (S)",simple
C-LS8054-lssilverc,"Sheer Orange - S - Silver Colar",simple
C-LS8055-lssilverc,"Deep Orange - C - Silver Colar",simple
C-LS8056-lssilverc,"Lipstick - Tangerine -C - Silver Colar",simple
C-LS8057-lssilverc,"Pink Cloud - C/P - Silver Colar",simple
C-LS8058-lssilverc,"Mia Tia(C)",simple
C-LS8059-lssilverc,"Orange Bloom - C - Silver Colar",simple
C-LS8060-lssilverc,"Ravishing Rose - P - Silver Colar",simple
C-LS8061-lssilverc,"Aubergine - C - Silver Colar",simple
C-LS8062-lssilverc,"Coral Shelly - C/P - Silver Colar",simple
C-LS8063-lssilverc,"Red Coral (C)",simple
C-LS8065-lssilverc,"Fire Red - M - Silver Colar",simple
C-LS8067-lssilverc,"Burnt Red - C - Silver Colar",simple
C-LS8068-lssilverc,"Rouge Cream - S/P - Silver Colar",simple
C-LS8069-lssilverc,"8069 Lipstick - Radical Red - C Silver Colar",simple
C-LS8070-lssilverc,"8070 Hot and Bothered - Silver Colar",simple
C-LS8072-lssilverc,"8072 Maralyn - M - Silver Colar",simple
C-LS8073-lssilverc,"Blush - F - Silver Colar",simple
C-LS8074-lssilverc,"All night long - C - Silver Colar",simple
C-LS8075-lssilverc,"Raspberry Red - C - Silver Colar",simple
C-LS8077-lssilverc,"8077 Bling Cherry  - C - Silver Colar",simple
C-LS8078-lssilverc,"Raspberry Haze (C)",simple
C-LS8079-lssilverc,"Berry (C)",simple
C-LS8081-lssilverc,"Spring Rose (C)",simple
C-LS8082-lssilverc,"8082 Babie - C - Silver Colar",simple
C-LS8083-lssilverc,"Kitten Pink (C)",simple
C-LS8084-lssilverc,"8084 Pinky Red - M - Silver Collar",simple
C-LS8086-lssilverc,"Twiggy Pink (C)",simple
C-LS8088-lssilverc,"Rouge Rose (C)",simple
C-LS8090-lssilverc,"Deep Plum (C)",simple
C-LS8092-lssilverc,"Misty Pink (P)",simple
C-LS8093-lssilverc,"Dusty Rose (C)",simple
C-LS8098-lssilverc,"Future Pink (C)",simple
C-LS8101-lssilverc,"Plum Pink (C)",simple
C-LS8102-lssilverc,"Chardine - C - Silver Colar",simple
C-LS8103-lssilverc,"Booty Call - Silver Colar",simple
C-LS8104-lssilverc,"8104 Unforgettable - Silver colar",simple
C-LS8105-lssilverc,"Hotness Red P - Silver Colar",simple
C-LS8106-lssilverc,"Bee Sting (C)",simple
C-LS8107-lssilverc,"Drive Him Crazy - P - Silver Colar",simple
C-LS8108-lssilverc,"One night Stand - P - Silver Colar",simple
C-LS8109-lssilverc,"Jealous - C - Silver Colar",simple
C-LS8110-lssilverc,"8110 Diva - C - Silver Colar 8110",simple
C-LS8111-lssilverc,"Vamp - C - Silver Colar",simple
C-LS8112-lssilverc,"Valuptious - C - Silver Colar",simple
C-LS8113-lssilverc,"Bubbly - C - Silver Colar",simple
C-LS8114-lssilverc,"8114 Shocking Pink - Silver Colar",simple
C-LS8115-lssilverc,"Lipstick - Grape C/P - Silver Colar",simple
C-LS8117-lssilverc,"Rebelious - M - Silver Colar",simple
C-LS8118-lssilverc,"Black Berry - C - Silver Colar",simple
C-LS8119-lssilverc,"Lipstick - Cotton Candy - P - Silver Colar",simple
C-LS8120-lssilverc,"8120 Fresh Lips - Silver Colar",simple
C-LS8122-lssilverc,"8122 Purple Lushies - Silver Colar",simple
